
? CHAPTER ONE  ?
16  Devoted Followers of the Silver Goddess
17  Dwarf Monks of Fist and Festivity
18  Earthen Fellowship
19  Elf Prayerful Order
20  Faithful Order of the Heart
Table 1–46: Holy Orders 2
1  Fellowship of the Dragon Scale
2  Fighting Brothers of the Sai
3  Hallowed Elf Society
4  High Holy People's Resistance 
5  Holy Academy of War
6  Holy Dragon Monastery
7  Infernal Brotherhood of Wrath
8  Lawful Clan of Water
9  Masked Faithful of the Dark One
10  Meditative Order of Greenfern
11  Monastery of the Three Gods
12  Moonlight Crusade
13  Pain Seekers
14  Peaceful Monks of Tridius
15  Pure Fellowship of Joy
16  Sabian Brotherhood
17  Sanctified Purple Monks
18  Secret Sisterhood of the Salamander
19  Sect of Flame
20  Sisterhood of the Fist

Table 1–47: Paladin Orders 
1  Blessed Order of Silver Valkyries
2  Brazen Defenders of Peace
3  Defenders of the White Throne
4  Elven Seekers
5  The Exalted
6  Fearless Soldiers of the Forbidden Lance
7  Followers of the Blessed Skys
8  High Order of Justice Knights
9  Holy Defenders of Light
10  Honorable Dwarf Guard
11  Knights of Honor-Bound Duty
12  Legion of Good and Truth
13  Light Bringers
14  Peaceful Order of Greatsword Defenders
15  Right Arm of Justice
16  Royal Fellowship of Paladins
17  Royal Guardians
18  Ruby Paladin Order
19  Saviors of the Sun Shield
20  Shining Fellowship of the Golden Dragon 

? CHAPTER ONE  ?

Table 1–48: Cults
1  Army of the True Righteous
2  Ascending Ones
3  Beastfriend Circle
4  Bringers of Truth
5  Children of the Gods
6  Dead God's Revenge
7  Deathgod's Children
8  Demon Lord Servants
9  Druids of Winterholme
10  Gathering of Timeend
11  Giant Lord Slaves
12  Lustful of Parradine
13  Monks of Enlightenment
14  One Prophet
15  Purifiers of Fire
16  River God's Way
17  Seasonal Might
18  Soldier's Planes
19  Soul Snatchers
20  World's End

Table 1–49: Cleric Quests
1  Act as ambassador to a neighboring church
2  Be considered worthy of promotion
3  Bring hope to a community touched by war
4  Build personal strength
5  Claim riches for the church
6  Cure a neighboring community of disease
7  Defeat a champion of an enemy church
8  Defeat infidels
9  Deliver a place from the undead
10  Deliver scriptures to a neighboring church
11  Discover your true name
12  Gain a holy weapon for use against foes
13  Protect the faithful on a pilgrimage
14  Quell a heretic before a community turns
15  Receive a vision
16  Reclaim a holy relic
17  Retrieve a book of holy script
18  Return an item used to craft a holy weapon
19  Search for a lost holy castle
20  See an exotic landmark for oneself

Table 1–50:  works of  mercy
1  Admonish sinners
2  Bear wrongs patiently
3  Bury the dead
4  Care for the aged and infirm
5  Care for orphans
6  Clothe the poor
7  Comfort the afflicted
8  Counsel the doubtful
9  Endure the faithless
10  Feed the hungry
11  Forgive offences willingly
12  Give drink to the thirsty
13  Grant absolution
14  Heal the sick
15  Instruct the ignorant 
16  Lead other in prayer
17  Minister to prisoners
18  Pray over the condemned
19  Shelter strangers and the homeless
20  Visit the sick

Table 1–51: Acts of Faith*
1  Banish the wicked
2  Convert the faithless
3  Create food and water
4  Cure ailment or disease
5  Cure blindness
6  Curse or remove a curse
7  Darkness or light
8  Discern truth
9  End drought
10  Erect monument or shrine
11  Exorcise a spirit
12  Fly, levitate, or otherwise move without aid
13  Inspire the sick or infirm to walk
14  Natural disaster wrought
15  Raise the dead
16  Remove fear
17  Solar eclipse or movement of sun in sky
18  Structure razed
19  Turn or otherwise destroy undead
20  Walk on water

? CHAPTER ONE  ?
Table 1–52:  virtues 1
1  Assertiveness
2  Cleanliness 
3  Commitment 
4  Compassion 
5  Confidence 
6  Consideration 
7  Courage 
8  Courtesy 
9  Detachment 
10  Determination 
11  Diligence 
12  Forgiveness 
13  Friendliness
14  Generosity 
15  Helpfulness 
16  Honesty
17  Honor
18  Humility 
19  Integrity 
20  Joyfulness 
Table 1–53:  virtues 2
1  Justice 
2  Kindness 
3  Love 
4  Loyalty 
5  Moderation 
6  Modesty 
7  Orderliness 
8  Patience 
9  Peacefulness
10  Perseverance 
11  Reliability 
12  Respect 
13  Responsibility 
14  Self-discipline 
15  Tact
16  Thankfulness 
17  Tolerance 
18  Trustworthiness 
19  Truthfulness 
20  Understanding
Table 1–54:  vices 1
1  Addiction 
2  Aggression 
3  Alcoholism 
4  Bigotry 
5  Carelessness 
6  Corruption 
7  Cowardice 
8  Cruelty 
9  Dependence 
10  Despair 
11  Dishonesty 
12  Dishonor 
13  Disobedience 
14  Disrespectfulness 
15  Filthiness 
16  Foolishness 
17  Greed 
18  Hatred 
19  Ignorance 
20  Immodesty 
Table 1–55:  vices 2
1  Impatience 
2  Indecision 
3  Infidelity 
4  Irresponsibility 
5  Laziness 
6  Lewdness 
7  Pessimism 
8  Prejudice 
9  Procrastination 
10  Rudeness 
11  Ruthlessness 
12  Secretiveness 
13  Selfishness 
14  Slothfulness 
15  Stinginess 
16  Stubbornness 
17  Unfairness 
18  Unforgiving
19  Unscrupulousness 
20  Vanity

? CHAPTER ONE  ?

Table 1–57: Druidic Orders
1  Arbor Keepers
2  Breeze Riders
3  Copious Revel
4  Elemental Ideal
5  The Fair Escape
6  Feast of Rains
7  Feral Storm
8  Fertile Fathoms
9  The Flourishing Wild
10  Fruitful Illumination
11  Holy Holocaust
12  The Hunting Garden
13  Land's Favor
14  Prolific Junction
15  Restless Flood
16  Savage Hypaethral
17  The Storm Wardens
18  Vale Warders
19  Verdant Bower
20  Wings of Change

Table 1–56: Druid Ceremonies
1  Awakening of a treant to a section of forest
2  Birthsday, celebrating births of all that year; for those born this day, it is a portent of fortune
3  Blue Moon, dressed in nothing but silver 
4  Daystar Rising, every morning
5  Dead Wick, honoring ancestors, visiting deceased, protection from evil spirits 
6  Festival of Fall, observes the oncoming winter
7  Festival of Spring, return of life after winter
8  First rain of the season, celebrate the gift of rain, avoid drought
9  First snow of the season, welcome it like a friendly visitor
10  Full moon, usually celebrated peacefully with dances
11  Great hunt, beast is trapped and set free, honor the gift of flesh
12  Harvest and shearing with local towns who venerate nature
13  Initiation of a new member of the circle
14  Lastrite, celebrating the life of an elder druid before he begins his great journey alone
15  Midnight, moon's highest point
16  New moon, bonfire holds back the darkness and creatures in it
17  Noon, sun's highest point, symbolizing life
18  Planting, bounty of the land celebration 
19  Sundown, night-blooming flowers
20  Vinechain, used against captive lycanthropes to help contain or purge their sickness


? CHAPTER ONE  ?

Table 1–58:  monastic Orders
1  Abbey of Elemental Truth
2  Abbey of the Empty Hand
3  Ascetic Order of the Tiger
4  Bright Order of the Stone Guard
5  Contemplation of Dwarven Fighting Arts
6  Devoted Brothers of the Sai
7  Eagle's Glamor Meditation Hall
8  Elven Order of Ki
9  Great Zhu-Shin's Dojo
10  Humble Guardians of the Ruby Portal
11  Lawful Order of the Just Hand
12  Meditative Order of the Dragon
13  Monastic Order of Rigid Meditation
14  Monastery of Water and Earth
15  Monks of the White Raven
16  Order of Colored Dreamers
17  Order of the Respectful Warrior
18  Students of Serenity
19  Ten Bear Abbey
20  Water Hall of Meditation
Table 1–60:  monk maneuvers 1
1  Adamantine Fist
2  Berserker's Punch
3  Blinding Strike
4  Boatman's Oar
5  Chase the Tail
6  Claw of the Crab
7  Climb through Water
8  Cobra Fang
9  Copper Basin Stance
10  Cross-Arm Python Strike
11  Double Hammer Punch
12  Droping Shadows
13  Elephant Slam
14  Elevated Fist of the Ancients
15  Falcon's Precision
16  Falling Crane Strike
17  Farmer's Rake
18  Fire Dragon Cradle
19  Fist from Heaven
20  Fist of a Thousand Screams
Table 1–60:  monk maneuvers 2
1  Focus of the Master
2  Fox's Tail
3  Flying Dragon Punch
4  Flying Tiger
5  Goblin Bite
6  Gorgon Hold
7  Hand of the Giant
8  Hawk's Clutch
9  In Plain Sight
10  Iron Knee
11  Iron Palm
12  Lightning Fist
13  Lion's Leap
14  Monkey Flip
15  Northstar Stance
16  Oak Fist
17  Ogre Lock
18  Pounce of the Lion
19  Preying Mantis Clutch
20  Punch of the Drunken Sailor
Table 1–61:  monk maneuvers 3
1  Rage of the Patient Warrior
2  Raptor's Claw
3  Rhino Charge
4  Rolling Leg Sweep
5  Running Hammer
6  Scorpion Sting
7  Snake Strike
8  Snapping Steel
9  Speed of the Viper
10  Spinning Fist of the Northern Winds
11  Steel KIck
12  Strike of the Hunter
13  Swiftness of the Snake
14  Through the Grass
15  Tiger Intimidating Charge
16  Titan's Palm 
17  Triple Thunder Kick
18  Triton's Choke
19  Vaulting Leap of the Heavens
20  Wind at My Back

? CHAPTER ONE  ?
Table 1–62: Ranger Orders 1
1  Black Forest Strikers
2  Black Widow's Vengeance
3  Blood Harbor Brigade
4  Boar's Blood Hunters
5  Brotherhood of the Paired Bastard Swords
6  Claw Fighters
7  Crossbow Strikers
8  Deep Eye Woodsmen
9  Deerskin Defenders
10  Desert Wanderers
11  Devon's Crossing Protectors
12  Dragon Claws and Demon Horns
13  Fey Bane Striders
14  Fire Dagger Wardens
15  Free Women of the Jungle
16  Giant Slayers
17  Goblin Stalkers
18  Green Dragon Stalkers
19  Hunters of Humanity
20  Justicars of Tree Shadow
Table 1–63: Ranger Orders 2
1  Longbow Woodsmen
2  Mountain Pass Society
3  Orc Hunters
4  Order of Black Eyed Rangers
5  Order of Flame and Axe
6  Order of Treejumpers
7  Order of the Oakheart
8  Pick and Hammer
9  Ranger Order of Tyranny
10  Silent Arrow Strikers
11  Six-Fingered Bow Sect
12  Spider Climb Patrollers
13  Stone Arrow Archers
14  Sword and Axe Walkers
15  Thornbow Rangers
16  Twilight Guardsmen
17  Twin Dagger Troupe
18  Underground Liberators
19  Werewolf Hunters
20  Windrider Bowmen

Table 1–64: Ranger Titles
1  Archer
2  Bloodhound
3  Bowman
4  Explorer
5  Forester
6  Forsaker
7  Guardian
8  Guide
9  Hunter
10  Pathfinder
11  Ranger
12  Scout
13  Sniper
14  Stalker
15  Striker
16  Stryder
17  Wanderer
18  Warder
19  Windrider
20  Woodsman

Table 1–65: Ranger Tasks
1  Build a watchtower in remote locale
2  Dissuade or eliminate poachers and trappers
3  Enforce laws against over-hunting/foresting
4  Explore foreign or unexplored wilds
5  Guard a protected glade or grove
6  Guide an army through harsh terrain
7  Hunt down an unnatural beast or predator
